---

### 一般規則（1–20）

| #  | 規則內容          | 違規罰金     |
| -- | ------------- | -------- |
| 1  | 嚴禁未經報到擅自入場    | 2,000 元  |
| 2  | 參觀請於開放時間內離場   | 1,000 元  |
| 3  | 嚴禁闖入工作人員專用區   | 3,000 元  |
| 4  | 禁止吸菸、帶打火機入場   | 2,000 元  |
| 5  | 禁帶外食（除特定區域）   | 1,000 元  |
| 6  | 禁止大聲喧嘩或播放音樂   | 500 元    |
| 7  | 入場時須遵從導覽人員指示  | 1,000 元  |
| 8  | 不可擅自錄影進行商用拍攝  | 5,000 元  |
| 9  | 門票不得轉售或偽造     | 10,000 元 |
| 10 | 禁止破壞票券驗證貼紙    | 500 元    |
| 11 | 禁止投擲物品至農田或動物區 | 1,000 元  |
| 12 | 禁止躺臥於草皮或作物區   | 800 元    |
| 13 | 嚴禁酒後入園參觀      | 5,000 元  |
| 14 | 禁止高空拋物        | 1,000 元  |
| 15 | 禁止開傘追逐動物      | 2,000 元  |
| 16 | 禁止攜帶爆竹、煙火     | 10,000 元 |
| 17 | 禁止嚼食檳榔與吐渣     | 2,000 元  |
| 18 | 禁止隨地吐痰        | 1,500 元  |
| 19 | 嚴禁破壞植物或樹木     | 3,000 元  |
| 20 | 禁止露營、野炊       | 3,000 元  |

---

### 動物互動守則（21–40）

| #  | 規則內容          | 違規罰金                |
| -- | ------------- | ------------------- |
| 21 | 嚴禁餵食動物非指定飼料   | 2,000 元             |
| 22 | 餵食僅限由工作人員提供飼料 | 1,000 元             |
| 23 | 禁止拉扯動物、尾巴、角   | 5,000 元             |
| 24 | 禁止拍打或驚嚇動物     | 2,000 元             |
| 25 | 不可騎乘動物（除體驗區）  | 3,000 元             |
| 26 | 嚴禁私自進入畜舍或飼養欄  | 5,000 元             |
| 27 | 禁止使用閃光燈拍動物    | 800 元               |
| 28 | 禁止踩踏牧草地       | 2,000 元             |
| 29 | 禁止動物區奔跑或大聲呼喊  | 1,000 元             |
| 30 | 禁止丟擲東西引誘動物靠近  | 2,000 元             |
| 31 | 禁止攜帶自家寵物進入動物區 | 3,000 元             |
| 32 | 動物區內禁止飲食      | 1,500 元             |
| 33 | 禁止將嬰兒車推進動物欄內  | 3,000 元             |
| 34 | 未經允許抱起小動物     | 2,000 元             |
| 35 | 禁止翻越飼養圍欄      | 4,000 元             |
| 36 | 小朋友需由成人陪同觸摸動物 | 1,000 元             |
| 37 | 嚴禁惡意驅趕動物      | 2,000 元             |
| 38 | 禁止投餵垃圾、塑膠袋    | 5,000 元             |
| 39 | 禁止動物區拍攝商業廣告   | 10,000 元            |
| 40 | 損害動物健康者將報警處理  | 嚴重者刑責＋罰金上限 30,000 元 |

---

### 設施與建築（41–60）

| #  | 規則內容         | 違規罰金     |
| -- | ------------ | -------- |
| 41 | 不可破壞農場設施、指標  | 3,000 元  |
| 42 | 禁止塗鴉牆面與木椅    | 2,000 元  |
| 43 | 嚴禁亂開操作機具     | 10,000 元 |
| 44 | 不得擅入員工廚房或儲藏室 | 2,000 元  |
| 45 | 不可佔用無障礙通道    | 2,000 元  |
| 46 | 小朋友禁止獨自進入玻璃屋 | 1,000 元  |
| 47 | 嚴禁躺臥室內體驗區設施  | 800 元    |
| 48 | 不得擅自拍打農場展示物  | 1,000 元  |
| 49 | 禁止破壞廁所設施     | 3,000 元  |
| 50 | 禁止蓄意破壞灑水器    | 5,000 元  |
| 51 | 不得攀爬建築、欄杆    | 2,000 元  |
| 52 | 請勿搖晃溜滑梯、攀岩設施 | 1,500 元  |
| 53 | 嚴禁破壞安全感應器與鏡頭 | 10,000 元 |
| 54 | 禁止亂插電源或移動插座  | 2,000 元  |
| 55 | 使用公設應愛惜使用    | 800 元    |
| 56 | 離場請歸還借用物品    | 500 元    |
| 57 | 禁止把攜帶品鎖在廁所   | 1,000 元  |
| 58 | 禁止占用座位或餐桌不消費 | 800 元    |
| 59 | 禁止野餐區擺攤營利    | 2,500 元  |
| 60 | 禁止偷拿農產品樣品    | 3,000 元  |

---

### 衛生與安全（61–80）

| #  | 規則內容            | 違規罰金            |
| -- | --------------- | --------------- |
| 61 | 參觀者需勤洗手接觸動物後    | 勸導一次，二次 500 元   |
| 62 | 請勿亂丟口罩、紙巾       | 1,000 元         |
| 63 | 禁止在園區內撿果直接食用    | 1,500 元         |
| 64 | 禁止未經清洗接觸食品區     | 1,000 元         |
| 65 | 食品體驗區需戴口罩／帽     | 無罰金，請工作人員協助     |
| 66 | 吐口香糖罰款          | 1,000 元         |
| 67 | 擅用消毒酒精用於打火      | 5,000 元         |
| 68 | 未滿 12 歲需全程由成人陪同 | 家長處罰 1,500 元    |
| 69 | 衣物不整、拖鞋不可入工坊    | 禁止入場            |
| 70 | 意圖破壞消防設備        | 10,000 元        |
| 71 | 不可躲藏於帳篷或貨櫃屋     | 2,000 元         |
| 72 | 禁止飲用未標示水源       | 自負風險，不予賠償       |
| 73 | 禁止故意污染水池、菜園     | 3,000 元         |
| 74 | 禁止破壞蜂箱、鳥窩       | 3,000 元         |
| 75 | 禁止亂動電箱、開關       | 2,000 元         |
| 76 | 中暑請立即通知工作人員     | 未報將不負責          |
| 77 | 禁止進入藥品、飼料倉庫     | 5,000 元         |
| 78 | 禁止投毒或餵不明粉末      | 報警處理，30,000 元以上 |
| 79 | 嚴禁不戴安全帽體驗農機     | 3,000 元         |
| 80 | 消防通道禁止停留        | 2,000 元         |

---

